ID,Unternehmen,Geschäftsführer,Branchen,Sitz,Anschrift: Straße,Anschrift: PLZ,Anschrift: City,Anschrift: Land,Stammkapital,Persönliche haftender Gesellschafter (Natürliche Person),Persönliche haftender Gesellschafter (Unternehmen),Leitende Direktoren,Liquidatoren,Gegenstand/Geschäftszweck
amtsgericht-mannheim-hrb-210125,Franz Fellmoser Gesellschaft mit beschränkter Haftung Kraftwagenspedition,Jens Karl Fellmoser,Logistics,"Bühl, DE",Werkstraße 3,77815,Bühl,DE,51150.00 EUR,,,,,"Gegenstand des Unternehmens ist die Durchführung von Transporten im Güterfernverkehr und Güternahverkehr. 
Die Gesellschaft ist berechtigt, gleichartige oder ähnlich Unternehmen zu errichten oder bestehende zu erwerben oder sich an diesen zu beteiligen oder deren Geschäftsführung zu übernehmen und sämtliche Geschäfte zu betreiben, die geeignet sind, die Unternehmungen der Gesellschaft zu fördern. Gegenstand des Unternehmens ist ferner der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende Geschäftsführende Gesellschafterin an der Fellmoser GmbH & Co. KG, die die Vermietung und Verpachtung von Grundstücken zum Gegenstand hat."
amtsgericht-mannheim-hrb-744469,RET Automotive und Logistik GmbH,Ömer Faruk Torun,Logistics,"Mannheim, DE",Hafenstraße 15,68159,Mannheim,DE,25000.00 EUR,,,,,"Demontage im Industriebereich, Industrieservice, Zulieferung von genormten Automobil-, Flugzeug- und Schiffsteilen, insbesondere im Blechbereich sowie Logistikdienstleistungen."
amtsgericht-frankfurt-am-main-hrb-85419,Maurice Ward Logistics GmbH,Maurice Antony Ward,Logistics,"Frankfurt am Main, DE",Im Geisbaum 13,63329,Egelsbach,DE,25000.00 EUR,,,,,"Vermittlung und Organisation der Beförderung von Gütern durch Dritte (Spedition); der Vertrieb, Export von elektronischen Gütern und elektronischen Konsumgütern und Logistik."
amtsgericht-mannheim-hrb-734695,Durnovs Car Logistik UG (haftungsbeschränkt),Andrejs Durnovs,Logistics,"Rauenberg, DE",Kapellenweg 4,69231,Rauenberg,DE,2600.00 EUR,,,,,Der Transport von Alt- und Nutzfahrzeugen.
amtsgericht-ludwigshafen-hrb-67120,Berghäuser Transport Gesellschaft mbH,Markus Ruhnke,Logistics,"Römerberg, DE",Malzfabrikstraße 14,67354,Römerberg,DE,25000.00 EUR,,,,,Gegenstand des Unternehmens ist: Zustelldienst / -service.
amtsgericht-mainz-hrb-43159,Fassada - Bau und Transport GmbH,Jürgen Barembruch,Logistics,"Flörsheim-Dalsheim, DE",Elisabeth-Langgässer-Weg 1,67592,Flörsheim-Dalsheim,DE,25000.00 EUR,,,,,"Der Betrieb eines Transportunternehmens, Im- und Export, Umzug, logistische Dienstleistungen, Einlagerungen sowie Maurer-, Verputz- und Dämmarbeiten, Handel mit Baumaterialien, Vorführung und Schulung der eingesetzten Baumaterialien."
amtsgericht-mannheim-hrb-732086,MA Logistik & Dienstleistung GmbH,Serkan Yagtu,Logistics,"Mannheim, DE",Ruhrorter Straße 5,68219,Mannheim,DE,25000.00 EUR,,,,,"Der An- und Verkauf von Lkw's, Palettenlagerung, die Erbringung von logistischen Leistungen, das Lagern, Umschlagen und Kommissionieren von Gütern sowie die Unterhaltung eines offenen Zolllagers (OZL) sowie die Vermittlung von Frachtgeschäften aller Art."
amtsgericht-mannheim-hra-4452,TBS Transportbeton Rhein-Neckar GmbH & Co. KG,,Logistics,"Mannheim, DE",Rheinvorlandstraße 5,68159,Mannheim,DE,-,,TBS Transportbeton Rhein-Neckar Verwaltungsgesellschaft mbH,,,
amtsgericht-mannheim-hrb-713809,PARKPLAN AG,,Logistics,"Mannheim, DE",Rudolf-Diesel-Straße 27-31,68169,Mannheim,DE,50000.00 EUR,,,,,"Das Engineering, die Konzeption, die Entwicklung, die Herstellung, die Beratung und der Vertrieb von Produkten und Dienstleistungen im Bereich der Mobilität und Logistik, insbesondere durch automatisierte und halbautomatisierte Parksysteme sowie alle damit in Zusammenhang stehenden Tätigkeiten."
amtsgericht-mannheim-hrb-8751,V & V Dabelstein Logistik GmbH,"Sascha Dabelstein, Jochen Dabelstein, Christian Sperling",Logistics,"Mannheim, DE",Düsseldorfer Straße 6-8,68219,Mannheim,DE,25000.00 EUR,,,,,Die Erbringung von Dienstleistungen im Bereich Warenabsatz und Logistik.
amtsgericht-mainz-hrb-46883,KT Logistik GmbH,Marcus Huttenlocher,Logistics,"Oppenheim, DE",Auf der Saar 4,55276,Oppenheim,DE,25000.00 EUR,,,,,Ausführung von logistischen Dienstleistungen.
amtsgericht-mannheim-hrb-738680,Baden Express Logistics UG (haftungsbeschränkt),Jessica Weiland,Logistics,"Rheinmünster, DE",Winnipeg Avenue B112,77836,Rheinmünster,DE,1000.00 EUR,,,,,Transportlogistik und Fahrzeugdesign.
amtsgericht-mannheim-hrb-10078,"GLS, Getränke logistik Südwest GmbH",Achim Rainer Strecker,Logistics,"Mannheim, DE",Helmertstr. 4 - 6,68219,Mannheim,DE,102000.00 DEM,,,,,"Der An- und Verkauf von Getränken aller Art, abgepackten Lebensmitteln und Non Food Artikeln im Groß- und oder Einzelhandel, der Betrieb von eigenen oder gemieteten Gaststätten und gastronomischen Betrieben aller Art, sowie die Herstellung von Bier."
amtsgericht-landau-hrb-32509,Derreth Transport GmbH,"Rolf Jürgen Derreth, Sarah Marie Karch",Logistics,"Hagenbach, DE",Schillerstraße 6,76767,Hagenbach,DE,25000.00 EUR,,,,,"Die Durchführung von Transporten aller Art, die Transportvermittlung sowie die Durchführung von Baggerarbeiten"
amtsgericht-frankfurt-am-main-hrb-53749,Ingenico Transport- und Verwaltungsgesellschaft mbH,Thomas Deuerling,Logistics,"Frankfurt am Main, DE",Senckenberganlage 10-12,60325,Frankfurt am Main,DE,25000.00 EUR,,,,,"Der erlaubnisfreie Güterkraftverkehr, die Vermittlung von Transporten sowie die Lagerung und die Ein- und Auslagerung von Gütern."
amtsgericht-mannheim-hrb-743922,GLP German Logistik Personal GmbH,Mustafa Arif Abdulrazaq Al-Samaraey,Logistics,"Mannheim, DE",Reichenbachstraße 26,68309,Mannheim,DE,25000.00 EUR,,,,,Die gewerbemäßige Arbeitnehmerüberlassung sowie die Personalvermittlung
amtsgericht-frankfurt-am-main-hrb-103125,VZWL Logistik GmbH,Helmut Roth,Logistics,"Frankfurt am Main, DE","c/o Beiten Burkhardt, Mainzer Landstraße 36",60325,Frankfurt am Main,DE,25000.00 EUR,,,,,"Beteiligung als persönlich haftende, geschäftsführende Gesellschafterin an der VZWL Logistik GmbH & Co. Geschlossene Investment KG und die Verwaltung eigenen Vermögens."
